time,seconds_elapsed,z,y,x
2024-12-07 20:32:17.634953500,0.016953369140625,0.0475765615701675,0.1523624211549759,-0.0430158525705337
2024-12-07 20:32:17.644967700,0.0269677734375,0.044705856591463,0.1538157165050506,-0.0772927328944206
2024-12-07 20:32:17.654981600,0.036981689453125,0.0508503019809722,0.1341482698917389,-0.1063281148672103
2024-12-07 20:32:17.664995300,0.046995361328125,0.0521225295960903,0.1516512781381607,-0.1443738490343094
2024-12-07 20:32:17.675009500,0.057009521484375,-0.0378654152154922,0.2773428857326507,-0.24968321621418
2024-12-07 20:32:17.685022700,0.067022705078125,-0.1897585839033126,0.4564389288425445,-0.4573709666728973
2024-12-07 20:32:17.695036400,0.077036376953125,-0.2215705811977386,0.5398435592651367,-0.6043814420700073
2024-12-07 20:32:17.705050400,0.08705029296875,-0.2927837371826172,0.3815689384937286,-0.7302847504615784
2024-12-07 20:32:17.715064600,0.097064697265625,-0.4907639324665069,0.1836233735084533,-0.7984195947647095
2024-12-07 20:32:17.725078500,0.10707861328125,-0.8403268456459045,-0.0136512303724884,-0.7623220682144165
2024-12-07 20:32:17.735091500,0.117091552734375,-1.2049607038497925,-0.2418726831674575,-0.6744140982627869
2024-12-07 20:32:17.745105400,0.12710546875,-1.433043360710144,-0.4189170598983764,-0.5742926597595215
2024-12-07 20:32:17.755119600,0.13711962890625,-1.5226120948791504,-0.4249666929244995,-0.4679899215698242
2024-12-07 20:32:17.765133300,0.14713330078125,-1.5338037014007568,-0.301855593919754,-0.3477396070957184
2024-12-07 20:32:17.775146500,0.157146484375,-1.5076380968093872,-0.1172604486346244,-0.2380322515964508
2024-12-07 20:32:17.785160400,0.167160400390625,-1.5002315044403076,0.0381212681531906,-0.1385419368743896
2024-12-07 20:32:17.795174700,0.177174560546875,-1.4901604652404783,0.1318813264369964,-0.0722342878580093
2024-12-07 20:32:17.805188400,0.187188232421875,-1.4669392108917236,0.1271055042743683,-0.0584134310483932
2024-12-07 20:32:17.815202600,0.19720263671875,-1.418632984161377,0.0629805773496627,-0.0929453074932098
2024-12-07 20:32:17.825215500,0.207215576171875,-1.3163515329360962,-0.0158339887857437,-0.1454177498817443
2024-12-07 20:32:17.835229400,0.2172294921875,-1.161122441291809,-0.0066202506422996,-0.1877678781747818
2024-12-07 20:32:17.845243400,0.227243408203125,-0.911907196044922,0.0475613065063953,-0.1966700702905655
2024-12-07 20:32:17.855257600,0.237257568359375,-0.5735312700271606,0.1254901885986328,-0.1460577547550201
2024-12-07 20:32:17.865271600,0.247271484375,-0.2204024642705917,0.2084154784679412,-0.0262844935059547
2024-12-07 20:32:17.875284500,0.257284423828125,0.0667605921626091,0.3041643798351288,0.1352977454662323
2024-12-07 20:32:17.885298400,0.26729833984375,0.3758170008659363,0.3710043430328369,0.182576984167099
2024-12-07 20:32:17.895312600,0.277312744140625,0.4450698494911194,0.3011869192123413,-0.1565523445606231
2024-12-07 20:32:17.905326600,0.28732666015625,0.0875155925750732,0.1219224035739898,-0.5855154395103455
2024-12-07 20:32:17.915339500,0.297339599609375,-0.2568292617797851,0.148098886013031,-0.7684634327888489
2024-12-07 20:32:17.925353500,0.307353515625,-0.4138019382953644,0.4139800369739532,-0.5790561437606812
2024-12-07 20:32:17.935367700,0.31736767578125,-0.4295588135719299,0.5288288593292236,-0.2827233076095581
2024-12-07 20:32:17.945381400,0.32738134765625,-0.3765628039836883,0.4014601409435272,-0.095999039709568
